LOT,LOT_TYPE,OWNERNAME,CAREOFNAME,ADDRESS1,ADDRESS2,CITYSTZIP,PROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KWH,NATURALGASUSE_THERMS,LATITUDE,LONGITUDE
1026,2,JBG 2121 WISCONSIN LLC,JBG ASSOICATES LLC,4445 WILLARD AVE STE 400, ,"CHEVY CHASE, MD 20815-4641",JBG/2121 Wisconsin L.L.C.,2121 WISCONSIN AV NW,JBG 2121 WISCONSIN LLC,1905,Office,124930,92,40.3,40.2,117.5,117.2,875.7,7.009525334,2224,1928254,8015,38.91841796,-77.06957139
850,2,JBG/1233 20TH STREET LLC, ,4445 WILLARD AVE STE 400, ,"CHEVY CHASE, MD 20815-4641",1233 20th Street,1233 - 1243 20TH ST NW,JBG/1233 20TH STREET LLC,1984,Office,222726,79,62,62,194,194,1349,6.056769304,"2,612",2953134,0,38.90673195,-77.04452531
847,2,JBG/1920 N LLC, ,4445 WILLARD AVE STE 400, ,"CHEVY CHASE, MD 20815-4641","1920 N St, NW",1920 N ST NW,JBG 1920 N LLC,1981,Office,125000,67,63,62,198,195,1121,8.968,"1,469",2453261,0,38.9069971,-77.04418867
44,1,JEMAL'S ATLANTIC LLC,CORELOGIC COMMERCIAL TAX SVC,PO BOX 961009, ,"FORT WORTH, TX 76161-0009","Jemal's Atlantic, LLC",0950 F ST,JEMALS ATLANTIC LLC,1887,Office,297109,67,76,76,239,239,6189,20.83073889,"5,254",6052040,0,38.89701317,-77.02541356
805,2,JEMAL'S CAYRE WOODIES LLC,CORELOGIC COMMERCIAL TAX SVC,PO BOX 961009, ,"FORT WORTH, TX 76161-0009",Jemal's Cayre Woodies LLC,1025 F ST NW,JEMAL'S CAYRE WOODIES LLC,1927,Office,475872,79,53.9,53.9,169.1,169.1,3624.4,7.616333804,17660.8,8388234,0,38.89784779,-77.02649555
36,1,JEMAL'S CITADEL LLC, ,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875",Jemal's Citadel LLC,1641 - 1681 KALORAMA RD NW,JEMALS CITADEL LLC,1940,Other,116690,0,121,120,325,322,1643,14.08004113,"1,282",3248043,29993,38.92200566,-77.03838557
16,1,JEMAL'S DARTH VADER LLC, ,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875",Jemal's Darth Vader LLC,0111 MASSACHUSETTS AV NW,JEMAL'S DARTH VADER LLC,1983,Office,382448,60,72.1,72.1,226.4,226.4,2831.5,7.403620884,"3,952",6553105,0,38.89972696,-77.0131629
17,1,JEMAL'S GATEWAY DC LLC,DOUGLAS DEVELOPMENT COR,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875",Jemal's Gateway DC LLC,7820 GEORGIA AV NW,JEMALS GATEWAY DC LLC,1995,Other,52077,0,6,6,18,17,39,0.748891065,435,86074,0,38.98435757,-77.02740914
15,1,JEMAL'S LAZRIV WATER LLC, ,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875","Jemal's Lazriv, LLC",1900 HALF ST SW,JEMALS LAZRIV WATER LLC,1975,Office,778964,71,34,34,104,104,2230,2.862776714,"10,973",4772770,9421,38.86661855,-77.00977167
14,1,JEMAL'S ORME LLC,DOUGLAS DEVELOPMENT COR,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875",Jemal's Orme LLC,1424 K ST NW,JEMALS ORME LLC,1905,Office,51431,87,57,55,127,125,288,5.599735568,965,483162,12638,38.90212692,-77.03297125
28,1,JEMAL'S SQUARE 320 LLC,COREFOGIC COMMERCIAL TAX SVC,PO BOX 961009, ,"FORT WORTH, TX 76161-0009","Jemal's Square 320, LLC",1155 F ST,JEMALS SQUARE 320 LLC,2009,Office,380222,75,70,70,219,219,5244,13.7919426,"5,448",5128020,0,38.89767976,-77.02756621
31,1,JEMAL'S TOWER LLC, ,702 H ST NW # 400, ,"WASHINGTON, DC 20001-3734",Jemal's Tower LLC,4001 BRANDYWINE ST NW,JEMAL'S TOWER LLC,1953,Office,164868,100,13.4,13.4,41.9,41.9,186.9,1.13363418,3025.5,432558.3,0,38.9500002,-77.07930174
808,2,JEMAL'S VAN NESS LLC, ,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875",Jemal's Van Ness LLC,4215 CONNECTICUT AV NW,JEMALS VAN NESS LLC,1927,Other - Mall,57740,0,6,6,18,18,39,0.675441635,481,85790,0,38.94378793,-77.0627492
101,1,JEMAL'S WONDER LLC,DOUGLAS DEVELOPMENT CO,702 H ST NW STE 400, ,"WASHINGTON, DC 20001-3875",Jemal's Wonder LLC,0641 S ST NW,JEMALS WONDER LLC,1919,Office,96580,0,41,42,130,131,535,5.539449161,"1,332",1172242,0,38.91455073,-77.02109813
10,1,JENIFER STREET LIMITED PARTNERSHIP, ,2 WISCONSIN CIR STE 1050, ,"CHEVY CHASE, MD 20815-7026",The Jenifer Building,4400 JENIFER ST NW,JENIFER STREET LIMITED PARTNERSHIP,1972,Office,136710,96,42,42,125,125,440,3.218491698,"1,590",933909,2571,38.95859268,-77.08654122
28,1,JERRY MAIATICO TRUSTEE,ANN MAIATICO ETAL TRS,2122 MASSACHUSETTS AVE NW, ,"WASHINGTON, DC 20008-2833",800 Connecticut Ave. NW,800 CONNECTICUT AV,NANCY L ANDRACSEK TRUSTEE,0,Office,221171,65,68,67,213,211,1143,5.167946973,"3,496",2502662,0,38.90052582,-77.03854544
823,2,JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.), ,1100 NEW YORK AVE NW STE 270W, ,"WASHINGTON, DC 20005-6115",1750 Pennsylvania Ave,1750 PENNSYLVANIA AV NW,CESC 1750 PENNSYLVANIA LLC,1964,Office,440029,85,67.7,68.3,157,157.6,2314.3,5.259426083,4853.3,4210761,93256.484,38.89877617,-77.04087725
850,2,JOHNS HOPKINS UNIVERSITY,OFFICE OF REAL ESTATE,3910 KESWICK RD STE 3100N, ,"BALTIMORE, MD 21211-2226",Benjamin T. Rome,1619 MASSACHUSETTS AV,JOHNS HOPKINS UNIVERSITY,1963,Office,101369,88,65,64,145,144,416,4.103818722,768,693900,18605,38.90804293,-77.0375658
321,1,JOSHUA E J HOLLAND,DONOHOE HOSPITALITY SERVICES,2101 WISCONSIN AVE NW, ,"WASHINGTON, DC 20007-6224",Holiday Inn Georgetown,2101 WISCONSIN AV NW,MARY C H SMITH,1979,Hotel,231439,22,103,102,251,247,2084,9.004532512,"10,635",3800697,65459,38.91771006,-77.06832966
21,1,JUDICIARY PLAZA LLC, ,5225 WISCONSIN AVE NW STE 601, ,"WASHINGTON, DC 20015-2024",Liberty Square,0450 5TH ST NW,JUDICIARY PLAZA LLC,1982,Office,437277,81,58,58,183,183,4236,9.68722343,"7,302",9273584,0,38.89558702,-77.01939553
830,2,JUNIPER GARDENS LLC,ROCK CREEK PROPERTY GROUP,1155 CONN AVE NW STE 700, ,"WASHINGTON, DC 20036-4326",Takoma Flats,7700-7730 EASTERN AV,JUNIPER GARDENS LLC,1936,Multifamily Housing,98122,49,41,40,114,113,483,4.922443489,"6,454",983730,6364,38.98319721,-77.02540255
838,2,JWDC LP,RYAN LLC,PO BOX 4900, ,"SCOTTSDALE, AZ 85261-4900",33769-JW on Pennsylvania Avenue,1331 PENNSYLVANIA AV,JWDC LP,1984,Hotel,602234,48,76,76,195,195,5898,9.793535403,"31,580",11168110,150050,38.8965794,-77.03124764
438,1,KAISER FOUNDATION HEALTH ATTEN: PROPERTYMANAGER,BOX 6095 A,2101 E JEFFERSON ST, ,"ROCKVILLE, MD 20852-4908",Kaiser North Capitol,1011 NORTH CAPITOL ST NE,KAISER FOUNDATION HEALTH ATTEN: PROPERTYMANAGER,1985,Medical Office,82678,0,43,43,135,135,466,5.636324052,"2,108",1020288,72,38.90335475,-77.00837366
820,2,KANSAS AVENUE DEVELOPMENT GROUP LLC,THE WILKES CO,5101 WISCONSIN AVE NW STE 200, ,"WASHINGTON, DC 20016-4136","Kansas Avenue Development Group, LLC",6031 KANSAS AV NW,KANSAS AVENUE DEVELOPMENT GROUP LLC,1948,Non-Refrigerated Warehouse,71562,98,13,13,16,15,55,0.768564322,84,22573,8383,38.96313418,-77.00934759
8,1,KENILWORTH AVE APARTMENTS LLC, ,11701 BOWMAN GREEN DR, ,"RESTON, VA 20190-3573",Lotus Square,800 KENILWORTH AV,KENILWORTH AVE APARTMENTS LLC,2006,Multifamily Housing,246295,89,28,28,87,87,825,3.34964169,"16,561",1806617,0,38.9013537,-76.94603126
304,1,KEW BUILDING LLC, ,5301 WISCONSIN AVE NW STE 600, ,"WASHINGTON, DC 20015-2044",Kew Gardens,2700 Q ST NW,KEW BUILDING LLC,1925,Multifamily Housing,120054,36,89,88,132,130,739,6.15556333,"5,495",641848,83965,38.91011952,-77.0557761
149,1,KHP IV DC LLC, ,101 CALIFORNIA ST STE 980, ,"SAN FRANCISCO, CA 94111-5839",Doubletree Washington,1515 RHODE ISLAND AV NW,RLJ WASH TERR HOTEL LLC,1985,Hotel,183223,33,128.1,128.4,269.7,270,1710.5,9.335618345,15576.3,2804836,93954.696,38.9079812,-77.03550813
49,1,KING HOUSING LLC, ,11200 ROCKVILLE PIKE STE 250, ,"ROCKVILLE, MD 20852-3153",King Housing LLC,1220 12TH ST NW,KING HOUSING LLC,1975,Multifamily Housing,128167,91,53.7,56,91.8,99,526.7,4.10948216,6932.5,638714.8,47239.795,38.90626884,-77.02850476
12,1,KIPP DC, ,1003 K ST NW STE 700, ,"WASHINGTON, DC 20001-4421",KIPP DC - Benning Campus,4801 BENNING RD,KIPP DC,2008,K-12 School,84681,2,80,79,220,217,803,9.482646639,912,1616954,12183,38.88255544,-76.93430502
849,2,KITA WASHINGTON CENTER LLC,J L LASALLE,1801 K ST NW STE 1000, ,"WASHINGTON, DC 20006-1303",Kita Washington Center,1660 L ST NW,KITA WASHINGTON CENTER LLC,1968,Office,207740,87,70.6,71,180.5,181,1032.7,4.971117743,3167.5,2057406,27069.628,38.90346577,-77.03808299
4,1,"KNIGHTS OF COLUMBUS FAMILY LIFE BUREAU, INC",MARCH FOR EDUCATION DEFENSE,1012 14TH ST NW STE 300, ,"WASHINGTON, DC 20005-3474",Blessed John Paul II Shrine,3900 HAREWOOD RD NE,KNIGHTS OF COLUMBUS FAMILY LIFE BUREAU INC,1999,Museum,63373,0,136.7,136.7,299.5,299.4,1401.8,22.11983021,"1,743",2405700,68269.216,38.93764266,-77.00452693
302,1,KS 2000 CONNECTICUT LLC, ,1746 N ST NW, ,"WASHINGTON, DC 20036-2907",2000 Connecticut,2000 CONNECTICUT AV NW,KS 2000 CONNECTICUT LLC,1935,Multifamily Housing,128664,98,35,34,70,68,376,2.922340359,"4,350",559739,22668,38.9168856,-77.04733048
53,1,L G TAKOMA PARK LP,JAN ROBERTS,3399 PEACHTREE RD NE STE 600, ,"ATLANTA, GA 30326-2832",Gables Takoma Park,7035 BLAIR RD,L G TAKOMA PARK LP,2008,Multifamily Housing,199880,47,13.8,13.8,33.7,33.8,267.4,1.337802682,3722.8,512719,8645.9,38.97558853,-77.01889578
36,1,L-17 PARTNERSHIP,LENKIN CO MGT,4922A SAINT ELMO AVE, ,"BETHESDA, MD 20814-6056",1050 17th,1050 17TH ST NW,L-17 PARTNERSHIP,1975,Office,155901,63,76.8,76.7,241.1,240.7,1397.9,8.96658777,4509,3235158,0,38.90333925,-77.03883814
116,1,LAFAYETTE CENTER PROPERTY LLC, ,200 STATE ST STE 5, ,"BOSTON, MA 02109-2628",Lafayette Center One,1120 20TH ST NW,LAFAYETTE CENTRE PROPERTY LLC,1983,Office,331554,78,65,65.1,204.1,204.4,2698.7,8.139548912,"4,830",6245754,0,38.90464982,-77.04538604
118,1,LAFAYETTE CENTRE PROPERTY LLC, ,200 STATE ST STE 5, ,"BOSTON, MA 02109-2628",Lafayette Center Three,1155 21ST ST NW,LAFAYETTE CENTRE PROPERTY LLC,1986,Office,258186,59,86.1,86.1,270.2,270.2,3437.6,13.31443223,4695,7955735,0,38.90482284,-77.04609909
119,1,LAFAYETTE CENTRE PROPERTY LLC, ,200 STATE ST STE 5, ,"BOSTON, MA 02109-2628",Lafayette Centre Two,1133 21ST ST NW,LAFAYETTE CENTRE PROPERTY LLC,1984,Office,179232,72,60,60,189,189,1247,6.957462953,"1,619",2730578,0,38.90447988,-77.04609886
138,1,LANGSTON LANE LTD PRTNSHP,EQUITY MGMT,8975 GUILFORD RD STE 100, ,"COLUMBIA, MD 21046-2390",Langston Lane,2726 - 2734 LANGSTON PL SE,LANGSTON LANE LTD PRTNSHP,1990,Multifamily Housing,113703,30,91,90,140,138,743,6.534568129,"7,724",699563,79629,38.85499231,-76.97161855
823,2,LEAF LLC, ,1612 K ST NW, ,"WASHINGTON, DC 20006-2802",City Building - 1612 K Street,1612 K ST NW,LEAF LLC,1959,Office,83495,90,48,48,139,138,475,5.688963411,"750,487",982926,4822,38.90216105,-77.03752612
31,1,LEI AG -EMBASSY ROW LLC, ,2015 MASSACHUSSETTS AV, ,"WASHINGTON, DC 20036",2015 Massachusetts Avenue NW,2015 MASSACHUSETTS AV NW,AREP EMBASSY ROW LLC,1900,Office,283072,85,42.7,0,0,124.7,1460.21,5.158440255,,2709721,28376,38.91081757,-77.0456516
64,1,LENCSHIRE ASSOCIATES LLC, ,4922A SAINT ELMO AVE, ,"BETHESDA, MD 20814-6056",Lenchsire House,3140 WISCONSIN AV NW,LENCSHIRE ASSOCIATES LLC,1950,Multifamily Housing,105499,84,62.2,62.7,106.3,106.8,562.3,5.32990834,6662.9,679965.9,50587.337,38.93168635,-77.07318279
868,2,L'ENFANT COLONY LLC, ,445 HAMILTON AVE STE 601, ,"WHITE PLAINS, NY 10601-1827",950 L'Enfant,0450 10TH ST SW,L'ENFANT COLONY LLC,1969,Office,276288,75,87.2,87.9,214.3,215,2811.9,10.17742356,4183,5407284,89596.7,38.88315897,-77.02497513
74,1,LENKIN-N LP,LENKIN MGT,4922A SAINT ELMO AVE, ,"BETHESDA, MD 20814-6056",1818 N St,1818 N ST NW,LENKIN-N LP,1984,Office,101988,76,66.9,66.9,210.1,210.1,917.1,8.992234381,1279.4,2122407,0,38.90697246,-77.04293805
870,2,LHCW HOTEL HOLDING (2002) LLC, ,2401 M ST NW, ,"WASHINGTON, DC 20037-1408","Fairmont Washington, D.C., Georgetown",2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,1985,Hotel,458206,22,126.1,131.3,315.9,300,4867.6,10.62316949,25626.8,9086807,177354.232,38.90577859,-77.05198837
38,1,LHL REALTY COMPANY DC LLC,ALGIN MTG CO,183 MADISON AVE RM 1602, ,"NEW YORK, NY 10016-4407",The Patrick Henry Building,0601 D ST NW,LHL REALTY COMPANY,1973,Office,603712,81,64.1,64.1,198.8,198.9,4350,7.205422453,"8,208",9988056,6213.373,38.8952771,-77.02047946
873,2,LHO TOM JOAD CIRCLE DC LLC, ,7550 WISCONSIN AVE FL 10, ,"BETHESDA, MD 20814-3559",Donovan House,1155 14TH ST NW,LHO TOM JOAD CIRCLE DC LLC,2007,Hotel,112867,46,88,88,219.9,219.9,1330.7,11.7899829,"5,436",2596879,39306.754,38.90508473,-77.03157777
55,1,LHO WASHINGTON HOTEL FOUR LLC, ,7550 WISCONSIN AVE FL 10, ,"BETHESDA, MD 20814-3559",Hotel Helix,1430 RHODE ISLAND AV NW,LHO WASHINGTON HOTEL FOUR LLC,1963,Hotel,125764,77,77,76,153,152,942,7.490219777,"7,230",1386727,58043,38.90805288,-77.03294769
838,2,LHO WASHINGTON HOTEL ONE L L C, ,7550 WISCONSIN AVE, ,"BETHESDA, MD 20814-3573",Topaz Hotel,1733 N ST NW,LHO WASHINGTON HOTEL ONE L L C,1964,Hotel,69795,61,100,100,193,192,639,9.155383623,"4,436",900510,42941,38.9075094,-77.03970793
876,2,LHO WASHINGTON HOTEL SIX LLC, ,7550 WISCONSIN AVE, ,"BETHESDA, MD 20814-3573",Hotel George,0015 E ST NW,LHO WASHINGTON HOTEL SIX LLC,1927,Hotel,88704,4,103,103,208,208,1295,14.59911616,"7,431",1937689,77164,38.89642087,-77.00990785
846,2,LHO WASHINGTON HOTEL THREE L L C, ,7550 WISCONSIN AVE FL 10, ,"BETHESDA, MD 20814-3559",Hotel Rouge,1315 16TH ST NW,LHO WASHINGTON HOTEL THREE L L C,1963,Hotel,161042,61,100.9,101.4,177.4,178,897.8,5.574943183,"5,333",1144405,75997.132,38.9082633,-77.03604042
816,2,LHO WASHINGTON HOTEL TWO LLC, ,7550 WISCONSIN AVE FL 10, ,"BETHESDA, MD 20814-3559",Hotel Madera,1308 - 1310 NEW HAMPSHIRE AV NW,LHO WASHINGTON HOTEL TWO LLC,1990,Hotel,60291,24,149,148,260,256,792,13.136289,"4,558",960236,66450,38.90765909,-77.04582835
92,1,LIBERTY 1100 17TH STREET LP, ,500 CHESTERFIELD PKWY, ,"MALVERN, PA 19355-8707",*02217 - 1100 17th Street NW,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,1963,Office,157120,89,48.1,48.1,150.4,150.4,1004.6,6.393839104,3347.6,2122182,354.754,38.90404274,-77.03880735
75,1,LIBERTY 2100 M STREET LP, ,500 CHESTERFIELD PKWY, ,"MALVERN, PA 19355-8707",2100 M Street,2106 M ST NW,HINES VAF 11 2100 M STREET LP,1969,Office,376487,84,57.1,0,0,195.2,2635.44,7.00008234,,5454487.4,0,38.90488235,-77.04709806
36,1,LINCOLN-WESTMORELAND HOUSING, ,1730 7TH ST NW, ,"WASHINGTON, DC 20001-3129",New Lincoln Westmoreland LLC,1718 - 1738 7TH ST NW,LINCOLN-WESTMORELAND HOUSING,1972,Multifamily Housing,100794,0,58,58,135,135,739,7.331785622,"9,800",1288847,28210,38.91328058,-77.02221881
65,1,LIVE OAK REALTY INC,WOODMARK REAL ESTATE STE 145,1025 THOMAS JEFFERSON ST NW, ,"WASHINGTON, DC 20007-5201",Live Oak Realty,1444 I ST NW,LIVE OAK REALTY INC,1983,Office,81608,64,75,75,193,193,608,7.450249975,"1,856",1154291,15283,38.90108132,-77.03276425
854,2,LM DC HOTELS LLC,GSI INC,3106 W BAY TO BAY BLVD, ,"TAMPA, FL 33629-7212",The Madison,1177 15TH ST NW,JTCI5 MADISON HOTEL LP,1962,Hotel,287557,30,145.6,97,220,327,2636.2,9.167573733,"10,238",4612655,121181.971,38.90537735,-77.03406793
810,2,LMG 2807 LLC,ROBERT LEWIS,301 CONSTITUTION AVE NE, ,"WASHINGTON, DC 20002-5921",Joshua White,2807 CONNECTICUT AV NW,LMG 2807 LLC,1924,Residence Hall/Dormitory,53088,80,36,36,112,112,253,4.765672092,"2,451",554700,0,38.92729722,-77.05323371
95,1,LONFELLOW COLARDO ASSO LLC,PORETSKY BUILDERS,6939 GEORGIA AVE NW, ,"WASHINGTON, DC 20012-2456",Longfellow Apartments,5521 COLORADO AV NW,LONFELLOW COLARDO ASSO LLC,1932,Multifamily Housing,66218,95,69,68,80,79,262,3.956628107,"4,577,188",71225,43120,38.95690533,-77.03229404
815,2,LOWELL SCHOOL INC, ,1640 KALMIA RD NW, ,"WASHINGTON, DC 20012-1126",Lowell School,7775 17TH ST NW,LOWELL SCHOOL INC,1928,K-12 School,85587,42,72,70,143,140,548,6.402841553,825,809415,33653,38.98506878,-77.0387028
24,1,LSREF2 WINDMILL REO NEW YORK LLC,1401 NYC REO LLC,7101 WISCONSIN AVE STE 1210, ,"BETHESDA, MD 20814-4867","Jemal's Hecht's, LLC",1401 NEW YORK AV NW,LSREF2 WINDMILL REO NEW YORK LLC,1937,Distribution Center,278364,0,0,0,0,0,7,0.02514693,-,14377,0,38.89978056,-77.03231188
805,2,LUCY WEBB HAYES NATIONAL TRAINING SCHOOL SIBLEY MEMORIAL HOSPITAL, ,5255 LOUGHBORO RD NW, ,"WASHINGTON, DC 20016-2633",Sibley Hospital Medical Building,5215 LOUGHBORO RD,LUCY WEBB HAYES NATIONAL TRAINING SCHOOL SIBLEY MEMORIAL HOSPITAL,2011,Parking,115352,0,225,225,440,439,2784,24.13482211,"5,659",4011391,179259,38.93715725,-77.10689475
21,6,LUZON ASSOCIATES LP,GEORGE I BORGER INC,1111 14TH ST NW STE 200, ,"WASHINGTON, DC 20005-5622",Winchester-Luzon,6601 14TH ST NW,LUZON ASSOCIATES LP,1942,Multifamily Housing,90400,86,66,65,98,98,417,4.612831858,"4,340",368541,46878,38.97085978,-77.0327596
62,1,LUZON ASSOCIATES LP,BORGER MGMT,1111 14TH ST NW STE 200, ,"WASHINGTON, DC 20005-5622",Winchester-Van Buren,6505 14TH ST NW,LUZON ASSOCIATES LP,1942,Multifamily Housing,65416,64,76,76,119,118,364,5.564387917,"3,302",363031,37249,38.96962925,-77.03284183
847,2,MACY'S RETAIL HOLDINGS INC, ,7 W 7TH ST, ,"CINCINNATI, OH 45202-2424",(71068A) METRO CENTER,1201 G ST NW,MACY'S RETAIL HOLDINGS INC,1985,Retail Store,215108,95,32.7,32.7,102.7,102.7,1127.6,5.242017963,2243.6,2609688,0,38.89865126,-77.02883484
803,2,MADISON TRUSTEE COOPERATIVE INC,EJF REALTY SERVICE,1428 U ST NW FL 2, ,"WASHINGTON, DC 20009-8010",1365 Kennedy St NW (Madison Terrace),1365 KENNEDY ST NW,MADISON TRUSTEE COOPERATIVE INC,1981,Multifamily Housing,50739,79,66,64,93,91,223,4.39504129,"1,306",170368,27404,38.95645102,-77.03263008
35,1,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP, ,PO BOX 84150, ,"GAITHERSBURG, MD 20883-4150",OFC Building,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,1968,Office,244818,84,79.9,80.7,192.7,193.5,1469.9,6.00405199,4662.3,2775518,49958.61,38.90589683,-77.03969238
96,1,MANGER 8-10-34 TRUST PARTNERS LLC,ANDREW WILLIAMS CPA C-240,1575 INDIAN RIVER BLVD, ,"VERO BEACH, FL 32960-7126",The CoStar Group Building,1331 L ST,MANGER 8-10-34 TRUST PARTNERS LLC,2008,Office,178646,84,64.2,60.1,188.8,201.7,1610,9.01223649,3008.3,3726197,0,38.90408613,-77.03101736
92,1,MANUFACTURERS LIFE INSURANCE, ,1100 NEW YORK AVE NW, ,"WASHINGTON, DC 20005-3934",1850 M St.,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,1986,Office,302448,86,58.4,58.4,183.5,183.5,1886.6,6.237766492,3488.5,4366358,0,38.90536331,-77.04289353
862,2,MANUFACTURERS LIFE INSURANCE COMPANY, ,1100 NEW YORK AVE NW, ,"WASHINGTON, DC 20005-3934",750 17th St.,0750 17TH ST,MANUFACTURERS LIFE INSURANCE COMPANY,1989,Office,187368,79,65,65,205,205,1191,6.356474958,"2,094",2607815,0,38.89973218,-77.03987557
58,1,MAPS 1750 K LLC,CHARLES E SMITH,2345 CRYSTAL DR STE 1100, ,"ARLINGTON, VA 22202-4801",1750 K Street NW,1750 K ST NW,1750 K STREET LLC,1975,Office,214618,78,60.7,60.7,190.4,190.4,1383.2,6.444939381,2525.4,3201162,0,38.90212131,-77.04077592
69,1,MARFAIR JOINT VENTURE, ,499 S CAPITOL ST SW STE 505, ,"WASHINGTON, DC 20003-4019",Fairchild Building,0499 SOUTH CAPITOL ST SW,MARFAIR JOINT VENTURE,1981,Office,278599,65,100,99.9,276.7,276.7,2598.8,9.328102398,1785.8,5351098,0,38.88341899,-77.01040134
55,1,MARIA C TRIPOLI,LEANER CORP,2000 TOWER OAKS BLVD FL 8, ,"ROCKVILLE, MD 20852-4284",Washington Square,1050 CONNECTICUT AV NW,MARIA C TRIPOLI,1982,Office,967088,75,71,71,222,222,6196,6.406862664,"16,412",13564280,0,38.90341773,-77.04072052
818,2,MAR-SALLE CENTER ASSOCIATES,RED MTG CAPITAL LLC / LOAN SVC,1717 MAIN ST STE 900, ,"DALLAS, TX 75201-4687",Brinton Woods Health and Rehabilitation,2131 O ST NW,MAR-SALLE CENTER ASSOCIATES,1942,Senior Care Community,71734,61,106,103,258,250,809,11.27777623,"4,349",1477506,25269,38.90888185,-77.04801657
843,2,MARVIN M ROBERTSON TRUSTEE, ,2501 Q ST NW, ,"WASHINGTON, DC 20007-4303",1717 H St. NW,1717 H ST NW,MARVIN M ROBERTSON TRUSTEE,0,Office,487844,73,71,71,220,220,2836,5.813333771,"6,934",6182709,2173,38.90053945,-77.04059103
806,2,MARY E SMITH TRUSTEE,FRED A SMITH CO,730 24TH ST NW STE 19, ,"WASHINGTON, DC 20037-2518",Wisconsin House,2712 WISCONSIN AV NW,MARY E SMITH TRUSTEE,1957,Multifamily Housing,113689,45,87,87,135,134,630,5.541433208,"4,391",604320,66655,38.92533129,-77.07365651
1,1,MARYLAND CROSSING REALTY LLC, ,150 E 58TH ST FL 39, ,"NEW YORK, NY 10155-0002",Hechinger Mall,1501 MARYLAND AV NE,MARYLAND CROSSING REALTY LLC,1979,Office,207990,0,83.8,0,0,0,2023.7,9.729794702,,4378425,24824.8,38.90043255,-76.98087818
812,2,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,MARVIN F POER & COMPANY,3520 PIEDMONT RD NE STE 410, ,"ATLANTA, GA 30305-1512",Hamilton Crowne Plaza Hotel,1001 14TH ST NW,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,1921,Hotel,146425,42,98.1,98.3,236.6,236.8,2001.4,13.66843094,14678.3,3785653,68901.325,38.90292616,-77.03158035
80,1,MATTHEW B LEYDIG, ,601 13TH ST NW STE 300, ,"WASHINGTON, DC 20005-3807",1101 16th St NW (DC Real Property identifier: 1970080),1101 16TH ST NW,NATIONAL SOFT DRINK ASSOCIATION,1972,Office,73594,79,72,71,146,143,482,6.549446966,"1,792",724600,28438,38.90394771,-77.03606283
816,2,MAURICE LIPNICK,BORGER MGMT INC,1825 K ST NW STE 1250, ,"WASHINGTON, DC 20006-1202",Parkway Plaza - 1,1810 - 1826 24TH ST NE,MAURICE LIPNICK,1962,Multifamily Housing,52944,100,25,0,28,0,74,1.397703234,"5,968",0,12499,38.91481845,-76.9732153
803,2,MAYFAIR MANSIONS LIMITED PARTNERSHIP, ,3819 JAY ST NE, ,"WASHINGTON, DC 20019-1854",Mayfair Mansions,3720 HAYES ST,MAYFAIR MANSIONS LIMITED PARTNERSHIP,1940,Multifamily Housing,417812,100,2.9,2.9,9.1,9.1,152.8,0.365714723,36322.1,353540,88096.46,38.90293383,-76.94848869
334,6,MCDANIELS INVESTMENT CORP, ,1415 TUCKERMAN ST NW APT 203, ,"WASHINGTON, DC 20011-1071",Jennifer,1415 TUCKERMAN ST,MCDANIELS INVESTMENT CORP,1948,Multifamily Housing,69228,82,84,84,97,97,267,3.85682094,"3,379",71336,44171,38.96790384,-77.03464641
82,1,MECO LLC, ,655 TAYLOR ST NE, ,"WASHINGTON, DC 20017-2063",Caterer,0655 TAYLOR ST NE,MECO LLC,1950,Other,89776,0,190,191,337,337,803,8.944484049,"3,917",1003000,64980,38.93949316,-76.99632974
